1394815637 519 Jsc 5.10
1394815655 520 Jsc 50.96
1394815668 521 Jsc 509.66
1395157923 522 Jsc 5096.89
1394815637 519 Voc 0.7583
1394815655 520 Voc 0.8810
1394815668 521 Voc 1.0017
1395157923 522 Voc 1.1181
1394815637 519 Pm 3.13
1394815655 520 Pm 37.62
1394815668 521 Pm 435.44
1395157923 522 Pm 4757.92
1394815637 519 FF 81.00
1394815655 520 FF 83.78
1394815668 521 FF 85.29
1395157923 522 FF 83.49
1394815637 519 Eff 3.13
1394815655 520 Eff 3.76
1394815668 521 Eff 4.35
1395157923 522 Eff 4.76
1395183999 522 Jsc 5096.89
1395183999 522 Voc 1.1181
1395183999 522 Pm 4757.92
1395183999 522 FF 83.49
1395183999 522 Eff 4.76
