1371720934 618 Jsc 9.99
1395183184 627 Jsc 99.66
1395089417 636 Jsc 998.42
1371720934 618 Voc 3.1478
1395183184 627 Voc 3.3402
1395089417 636 Voc 3.4788
1371720934 618 Pm 27.90
1395183184 627 Pm 268.39
1395089417 636 Pm 2675.18
1371720934 618 FF 88.71
1395183184 627 FF 80.63
1395089417 636 FF 77.02
1371720934 618 Eff 27.90
1395183184 627 Eff 26.84
1395089417 636 Eff 26.75
1395183940 627 Jsc 99.66
1395183940 627 Voc 3.3402
1395183940 627 Pm 268.39
1395183940 627 FF 80.63
1395183940 627 Eff 26.84
