
0.3025	1.0955E-03
0.303	1.8666E-03
0.3035	2.4022E-03
0.304	2.5487E-03
0.3045	3.2338E-03
0.305	4.4668E-03
0.3055	5.0930E-03
0.306	5.0750E-03
0.3065	5.7840E-03
0.307	7.6230E-03
0.3075	9.7340E-03
0.308	1.0377E-02
0.3085	1.1375E-02
0.309	1.1149E-02
0.3095	1.1836E-02
0.31	1.3913E-02
0.3105	1.7940E-02
0.311	2.2696E-02
0.3115	2.3078E-02
0.312	2.5449E-02
0.3125	2.6883E-02
0.313	2.9162E-02
0.3135	2.9500E-02
0.314	3.2633E-02
0.3145	3.5238E-02
0.315	3.6843E-02
0.3155	3.2417E-02
0.316	3.3544E-02
0.3165	4.0559E-02
0.317	4.6510E-02
0.3175	4.9856E-02
0.318	4.7908E-02
0.3185	5.0025E-02
0.319	5.4855E-02
0.3195	5.3465E-02
0.32	5.6385E-02
0.3205	6.6525E-02
0.321	6.7070E-02
0.3215	6.4085E-02
0.322	6.1000E-02
0.3225	5.9850E-02
0.323	5.8115E-02
0.3235	6.6965E-02
0.324	7.4260E-02
0.3245	7.7335E-02
0.325	7.7520E-02
0.3255	8.9680E-02
0.326	1.0434E-01
0.3265	1.1081E-01
0.327	1.0917E-01
0.3275	1.0643E-01
0.328	9.8865E-02
0.3285	1.0338E-01
0.329	1.1649E-01
0.3295	1.2932E-01
0.33	1.3096E-01
0.3305	1.2052E-01
0.331	1.1418E-01
0.3315	1.1818E-01
0.332	1.2254E-01
0.3325	1.2328E-01
0.333	1.2132E-01
0.3335	1.1633E-01
0.334	1.1912E-01
0.3345	1.2717E-01
0.335	1.3239E-01
0.3355	1.2947E-01
0.336	1.1907E-01
0.3365	1.1050E-01
0.337	1.0884E-01
0.3375	1.1717E-01
0.338	1.2661E-01
0.3385	1.3275E-01
0.339	1.3548E-01
0.3395	1.3924E-01
0.34	1.4830E-01
0.3405	1.4837E-01
0.341	1.3966E-01
0.3415	1.3927E-01
0.342	1.4561E-01
0.3425	1.5148E-01
0.343	1.5429E-01
0.3435	1.4623E-01
0.344	1.2676E-01
0.3445	1.2220E-01
0.345	1.3927E-01
0.3455	1.4881E-01
0.346	1.4566E-01
0.3465	1.4874E-01
0.347	1.5159E-01
0.3475	1.4676E-01
0.348	1.4653E-01
0.3485	1.4942E-01
0.349	1.4432E-01
0.3495	1.4860E-01
0.35	1.6457E-01
0.3505	1.7736E-01
0.351	1.7302E-01
0.3515	1.6694E-01
0.352	1.6337E-01
0.3525	1.5477E-01
0.353	1.6488E-01
0.3535	1.8176E-01
0.354	1.9262E-01
0.3545	1.9522E-01
0.355	1.9570E-01
0.3555	1.8939E-01
0.356	1.7814E-01
0.3565	1.6748E-01
0.357	1.4764E-01
0.3575	1.4975E-01
0.358	1.3968E-01
0.3585	1.2999E-01
0.359	1.5325E-01
0.3595	1.8507E-01
0.36	1.9620E-01
0.3605	1.8584E-01
0.361	1.7139E-01
0.3615	1.6824E-01
0.362	1.7675E-01
0.3625	1.9402E-01
0.363	2.0003E-01
0.3635	1.9497E-01
0.364	2.0236E-01
0.3645	2.0090E-01
0.365	2.0905E-01
0.3655	2.3055E-01
0.366	2.4754E-01
0.3665	2.4847E-01
0.367	2.4435E-01
0.3675	2.4021E-01
0.368	2.2660E-01
0.3685	2.2553E-01
0.369	2.3622E-01
0.3695	2.5428E-01
0.37	2.5833E-01
0.3705	2.3399E-01
0.371	2.3814E-01
0.3715	2.4794E-01
0.372	2.3253E-01
0.3725	2.2195E-01
0.373	2.1417E-01
0.3735	1.9341E-01
0.374	1.9326E-01
0.3745	1.9218E-01
0.375	2.0544E-01
0.3755	2.2757E-01
0.376	2.3609E-01
0.3765	2.3269E-01
0.377	2.5007E-01
0.3775	2.7945E-01
0.378	3.0157E-01
0.3785	2.9446E-01
0.379	2.6308E-01
0.3795	2.3628E-01
0.38	2.4876E-01
0.3805	2.6698E-01
0.381	2.7212E-01
0.3815	2.4568E-01
0.382	2.0979E-01
0.3825	1.8181E-01
0.383	1.6324E-01
0.3835	1.5829E-01
0.384	1.8345E-01
0.3845	2.2120E-01
0.385	2.4319E-01
0.3855	2.3275E-01
0.386	2.2492E-01
